rank,score,institute_name_raw,institute_id,state,city,tlr,rpc,go,oi,perception,category,year,page_url,row_anchor,crawl_time,institute_name_norm
1,87.31,Indian Institute of Technology Madras,IR-O-U-0456,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT MADRAS
2,85.0,Indian Institute of Science,IR-O-U-0220,Karnataka,Bengaluru,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IISC
3,81.62,Indian Institute of Technology Bombay,IR-O-U-0306,Maharashtra,Mumbai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT BOMBAY
4,80.67,Indian Institute of Technology Delhi,IR-O-I-1074,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT DELHI
5,77.25,Indian Institute of Technology Kanpur,IR-O-I-1075,Uttar Pradesh,Kanpur,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT KANPUR
6,73.99,Indian Institute of Technology Kharagpur,IR-O-U-0573,West Bengal,Kharagpur,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT KHARAGPUR
7,71.73,Indian Institute of Technology Roorkee,IR-O-U-0560,Uttarakhand,Roorkee,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT ROORKEE
8,70.57,"All India Institute of Medical Sciences, Delhi",IR-O-N-15,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,ALL INDIA INSTITUTE OF MEDICAL SCIENCES DELHI
9,69.62,Jawaharlal Nehru University,IR-O-U-0109,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,JAWAHARLAL NEHRU UNIVERSITY
10,68.71,Banaras Hindu University,IR-O-U-0500,Uttar Pradesh,Varanasi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,BANARAS HINDU UNIVERSITY
11,67.67,Indian Institute of Technology Guwahati,IR-O-U-0053,Assam,Guwahati,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT GUWAHATI
12,67.04,Indian Institute of Technology Hyderabad,IR-O-U-0013,Telangana,Hyderabad,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT HYDERABAD
13,66.99,Jamia Millia Islamia,IR-O-U-0108,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,JAMIA MILLIA ISLAMIA
14,66.86,Manipal Academy of Higher Education-Manipal,IR-O-U-0234,Karnataka,Manipal,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,MANIPAL ACADEMY OF HIGHER EDUCATION-MANIPAL
15,66.19,University of Delhi,IR-O-U-0120,Delhi,Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,UNIVERSITY OF DELHI
16,65.06,Birla Institute of Technology & Science -Pilani,IR-O-U-0391,Rajasthan,Pilani,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE -PILANI
17,64.97,Amrita Vishwa Vidyapeetham,IR-O-U-0436,Tamil Nadu,Coimbatore,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,AMRITA VISHWA VIDYAPEETHAM
